filename,Bicubic_PSNR,Bicubic_MSE,Bicubic_SSIM,SRCNN_PSNR,SRCNN_MSE,SRCNN_SSIM
agricultural_0006_patch00150.png,19.4191,743.3041,0.4069,21.7461,434.9786,0.5991
agricultural_0006_patch00151.png,19.6035,712.4148,0.4214,21.9288,417.0663,0.6097
agricultural_0006_patch00152.png,19.8846,667.7648,0.4375,22.2538,386.9896,0.6286
agricultural_0006_patch00153.png,19.8859,667.5586,0.4361,22.1972,392.0636,0.6216
agricultural_0006_patch00154.png,19.544,722.2388,0.43,21.8191,427.7312,0.6079
agricultural_0006_patch00155.png,19.438,740.0785,0.4084,21.8029,429.3248,0.5972
agricultural_0006_patch00156.png,19.8276,676.5779,0.4336,22.1932,392.4295,0.6207
agricultural_0006_patch00157.png,20.1033,634.9666,0.44,22.4577,369.2386,0.6262
agricultural_0006_patch00158.png,20.0397,644.3352,0.4425,22.3435,379.0832,0.6236
agricultural_0006_patch00159.png,19.5831,715.7704,0.4294,21.8658,423.1596,0.6051
agricultural_0006_patch00160.png,19.4654,735.4362,0.4255,21.809,428.7308,0.6105
agricultural_0006_patch00161.png,19.8372,675.0808,0.4525,22.1238,398.7518,0.6302
agricultural_0006_patch00162.png,20.0074,649.1462,0.4465,22.2481,387.4969,0.6194
agricultural_0006_patch00163.png,19.861,671.3974,0.4453,22.105,400.4773,0.6176
agricultural_0006_patch00164.png,19.5528,720.7791,0.4412,21.7949,430.1226,0.6148
agricultural_0006_patch00165.png,19.5335,723.9812,0.4419,21.963,413.7904,0.6366
agricultural_0006_patch00166.png,19.8527,672.688,0.4559,22.1661,394.8856,0.6398
agricultural_0006_patch00167.png,19.8698,670.035,0.4471,22.0849,402.3338,0.6196
agricultural_0006_patch00168.png,19.8184,678.0242,0.4491,22.0122,409.1324,0.6236
agricultural_0006_patch00169.png,19.6012,712.7844,0.4596,21.8761,422.1528,0.6358
agricultural_0006_patch00170.png,19.1596,789.0714,0.4416,21.6878,440.8622,0.65
agricultural_0006_patch00171.png,19.4189,743.3469,0.4468,21.8526,424.4475,0.6449
agricultural_0006_patch00172.png,19.4945,730.5108,0.4464,21.8153,428.1017,0.633
agricultural_0006_patch00173.png,19.5688,718.1294,0.4542,21.8299,426.6648,0.636
agricultural_0006_patch00174.png,19.5154,727.0082,0.4766,21.7667,432.9234,0.6514
agricultural_0007_patch00175.png,18.6536,886.5804,0.3827,22.6979,349.3768,0.7688
agricultural_0007_patch00176.png,18.5837,900.9796,0.3776,22.6816,350.6836,0.7698
agricultural_0007_patch00177.png,18.5856,900.5762,0.3709,22.5263,363.4584,0.7548
agricultural_0007_patch00178.png,18.632,890.9953,0.3633,22.6537,352.9484,0.756
agricultural_0007_patch00179.png,18.478,923.1584,0.3685,22.5594,360.6962,0.7644
agricultural_0007_patch00180.png,18.515,915.3322,0.3751,22.5431,362.0532,0.7661
agricultural_0007_patch00181.png,18.5661,904.6382,0.3714,22.5825,358.7806,0.7637
agricultural_0007_patch00182.png,18.5205,914.1863,0.3631,22.4648,368.6379,0.7515
agricultural_0007_patch00183.png,18.4441,930.4056,0.3563,22.4385,370.8749,0.7513
agricultural_0007_patch00184.png,18.3167,958.0911,0.3611,22.3133,381.7208,0.7554
