filename,PSNR,MSE,SSIM
agricultural_0017_patch00432.png,28.8849,84.0599,0.8424
agricultural_0017_patch00433.png,29.0131,81.6154,0.8753
agricultural_0017_patch00434.png,29.3777,75.0432,0.889
agricultural_0017_patch00435.png,28.897,83.8258,0.8012
agricultural_0017_patch00436.png,28.8103,85.5175,0.8101
agricultural_0017_patch00437.png,28.9965,81.9279,0.8525
agricultural_0017_patch00438.png,29.0604,80.7313,0.8803
agricultural_0017_patch00439.png,29.2355,77.5407,0.8914
agricultural_0017_patch00440.png,28.8774,84.2055,0.7928
agricultural_0017_patch00441.png,29.0784,80.3968,0.83
agricultural_0017_patch00442.png,29.337,75.7495,0.8705
agricultural_0017_patch00443.png,29.3577,75.39,0.8887
agricultural_0017_patch00444.png,29.2759,76.823,0.8905
agricultural_0017_patch00445.png,29.1488,79.1037,0.8139
agricultural_0017_patch00446.png,29.5542,72.055,0.8526
agricultural_0017_patch00447.png,29.6192,70.9836,0.8784
agricultural_0017_patch00448.png,29.64,70.6447,0.8861
agricultural_0017_patch00449.png,29.4498,73.8072,0.8901
agricultural_0018_patch00450.png,19.5328,724.1101,0.3724
agricultural_0018_patch00451.png,19.1208,796.1618,0.3628
agricultural_0018_patch00452.png,19.086,802.5674,0.3616
agricultural_0018_patch00453.png,19.221,778.0036,0.371
agricultural_0018_patch00454.png,19.3376,757.3986,0.3616
agricultural_0018_patch00455.png,19.5486,721.4666,0.3767
agricultural_0018_patch00456.png,19.0951,800.8826,0.3627
agricultural_0018_patch00457.png,19.1316,794.1798,0.3597
agricultural_0018_patch00458.png,19.2954,764.7916,0.3726
agricultural_0018_patch00459.png,19.3883,748.5996,0.3653
agricultural_0018_patch00460.png,19.4946,730.5054,0.3773
agricultural_0018_patch00461.png,19.2523,772.4084,0.3665
agricultural_0018_patch00462.png,19.2238,777.5064,0.3641
agricultural_0018_patch00463.png,19.365,752.6338,0.3705
agricultural_0018_patch00464.png,19.3315,758.4634,0.3614
agricultural_0018_patch00465.png,19.4295,741.5408,0.3671
agricultural_0018_patch00466.png,19.2982,764.2976,0.3648
agricultural_0018_patch00467.png,19.2799,767.5171,0.3761
